REQ_PARAM_SAP,JMP_PARAM,PRIOR,DEFAULT
FORMAT_EFFICIENCY,FORMAT_EFFICIENCY,R,0.1
CAM_PNL_SIZE_Y,CAM_PNL_SIZE_Y,R,0.1
NUM_DESIGN_LAYERS,NUM_DESIGN_LAYERS,R,0.1
DESIGN_LAYER_INDEX_BOT,DESIGN_LAYER_INDEX_BOT,R,0.1
SAP_ROUT_LENGTH,SAP_ROUT_LENGTH,R,0.1
CAM_PNL_SIZE_X,CAM_PNL_SIZE_X,R,0.1
MIN_LINE_WIDTH_TOP,MIN_LINE_WIDTH_TOP,R,0.1
MIN_LINE_WIDTH_CUST_CS,MIN_LINE_WIDTH_CUST_CS,R,0.1
DR_PNL_HOLE_QTY,DR_PNL_HOLE_QTY,R,0.1
NUMBER_OF_SUB,NUMBER_OF_SUB,R,0.1
NUM_OF_METAL_CORE,NUM_OF_METAL_CORE,R,0.1
MIN_DR2LINE,MIN_DR2LINE,R,0.1
MIN_DR2SU,MIN_DR2SU,R,0.1
AREA_FIN_CS,AREA_FIN_CS,R,0.1
AREA_FIN_PS,AREA_FIN_PS,R,0.1
AREA_PLT_CS,AREA_PLT_CS,R,0.1
AREA_PLT_PS,AREA_PLT_PS,R,0.1
MIN_LINE_WIDTH_CUST_PS,MIN_LINE_WIDTH_CUST_PS,R,0.1
AREA_PCB,AREA_PCB,R,0.1
CAM_NUM_PCBS_PNL,CAM_NUM_PCBS_PNL,R,0.1
JOB_SUB_NUM,JOB_SUB_NUM,R,0.1
DESIGN_LAYER_INDEX_TOP,DESIGN_LAYER_INDEX_TOP,R,0.1
MIN_LINE_WIDTH_BOT,MIN_LINE_WIDTH_BOT,R,0.1
MIN_SPACE_TOP,MIN_SPACE_TOP,R,0.1
MIN_SPACE_BOT,MIN_SPACE_BOT,R,0.1
THK_AFTER_PRESS,THK_AFTER_PRESS,R,0.1
MIN_THK_AFTER_PRESS,MIN_THK_AFTER_PRESS,R,0.1
FINISH_THK,FINISH_THK,R,0.1
POS_TOL_FINISH_THK,POS_TOL_FINISH_THK,R,0.1
NEG_TOL_FINISH_THK,NEG_TOL_FINISH_THK,R,0.1
DTY_MIN_DRILL,DTY_MIN_DRILL,R,0.1
DR_MIN_DRILL,DR_MIN_DRILL,R,0.1
DS_MIN_DRILL,DS_MIN_DRILL,R,0.1
MIN_CU_IN_HOLES,MIN_CU_IN_HOLES,R,0.1
NUM_PCBS_PNL,NUM_PCBS_PNL,R,0.1
AREA_CU_PASTE,AREA_CU_PASTE,R,0.1
AREA_CU_FILL,AREA_CU_FILL,R,0.1
AREA_CU_FILL2,AREA_CU_FILL2,R,0.1
CAM_NUM_PCBS_IN_ARRAY,CAM_NUM_PCBS_IN_ARRAY,R,0.1
CAM_NUM_PCBS_DIFF,CAM_NUM_PCBS_DIFF,R,0.1
CUSTOMER_THICKNESS,CUSTOMER_THICKNESS,R,0.1
NUM_LAYERS,NUM_LAYERS,R,0.1
MIN_LINE_WIDTH_CS,MIN_LINE_WIDTH_CS,R,0.1
MIN_LINE_WIDTH_PS,MIN_LINE_WIDTH_PS,R,0.1
ME_PANEL_QTY,ME_PANEL_QTY,R,0.1
REQUIRED_CU_WEIGHT_TOP,REQUIRED_CU_WEIGHT_TOP,R,0.1
REQUIRED_CU_WEIGHT_BOT,REQUIRED_CU_WEIGHT_BOT,R,0.1
REJECTS_IN_ARRAY,REJECTS_IN_ARRAY,R,0.1
ARRAY_AREA,ARRAY_AREA,R,0.1
FLEX_CLADS_NUM,FLEX_CLADS_NUM,R,0.1
PANEL_TOTAL_LASER_HOLES,PANEL_TOTAL_LASER_HOLES,R,0.1
PANEL_TOTAL_THROUGH_HOLES,PANEL_TOTAL_THROUGH_HOLES,R,0.1
JOB_LASER_CYCLES,JOB_LASER_CYCLES,R,0.1
JOB_BACKDRILL_CYCLES,JOB_BACKDRILL_CYCLES,R,0.1
DL_PNL_HOLE_QTY,DL_PNL_HOLE_QTY,R,0.1
DS_PNL_HOLE_QTY,DS_PNL_HOLE_QTY,R,0.1
DTY_PNL_HOLE_QTY,DTY_PNL_HOLE_QTY,R,0.1
